time,cumulative,average_temperature(°C),average_humidity(%),average_co2(ppm),average_illumination(lux)
2024-04-29 07:00:00,1.784,3.151,3.887,6.315,0.0
2024-04-29 08:00:00,1.784,3.15,3.892,6.32,2.643
2024-04-29 09:00:00,1.784,3.154,3.904,6.357,4.2
2024-04-29 10:00:00,1.979,3.142,3.986,6.927,4.2
2024-04-29 11:00:00,2.202,3.137,3.986,7.254,4.188
2024-04-29 12:00:00,1.309,3.139,3.969,7.442,4.178
2024-04-29 13:00:00,1.68,3.131,3.966,7.442,4.182
2024-04-29 14:00:00,2.021,3.141,4.011,7.204,4.217
2024-04-29 15:00:00,1.763,3.156,4.002,7.204,4.229
2024-04-29 16:00:00,1.909,3.167,3.99,7.204,4.204
2024-04-29 17:00:00,1.862,3.171,3.99,7.204,4.216
2024-04-29 18:00:00,2.067,3.174,3.983,7.204,4.211
2024-04-29 19:00:00,1.807,3.164,3.957,7.204,4.217
2024-04-29 20:00:00,1.418,3.137,3.944,7.204,4.232
2024-04-29 21:00:00,0.725,3.129,3.972,6.935,4.232
2024-04-29 22:00:00,0.725,3.125,3.966,6.726,4.231
2024-04-29 23:00:00,0.725,3.121,3.96,6.613,4.227
2024-04-30 00:00:00,0.725,3.12,3.965,6.64,4.228
2024-04-30 01:00:00,0.725,3.119,3.974,6.594,4.225
2024-04-30 02:00:00,0.725,3.123,3.966,6.52,3.096
2024-04-30 03:00:00,0.725,3.134,3.961,6.406,0.0
2024-04-30 04:00:00,0.725,3.141,3.96,6.303,0.0
2024-04-30 05:00:00,0.725,3.145,3.96,6.276,0.0
2024-04-30 06:00:00,0.725,3.146,3.96,6.263,0.0
2024-04-30 07:00:00,0.725,3.147,3.961,6.249,-0.236
2024-04-30 08:00:00,0.725,3.149,3.963,6.277,3.493
2024-04-30 09:00:00,0.725,3.151,3.974,6.295,3.988
2024-04-30 10:00:00,1.068,3.178,4.006,6.744,4.122
2024-04-30 11:00:00,1.116,3.195,4.011,6.893,4.176
2024-04-30 12:00:00,0.659,3.218,3.987,6.945,4.176
2024-04-30 13:00:00,0.913,3.215,3.969,6.544,4.181
2024-04-30 14:00:00,1.148,3.194,3.96,6.886,4.198
2024-04-30 15:00:00,1.043,3.19,3.962,6.988,4.188
2024-04-30 16:00:00,1.016,3.189,3.975,6.701,4.201
2024-04-30 17:00:00,0.982,3.199,4.011,6.597,4.186
2024-04-30 18:00:00,0.955,3.204,3.988,6.726,4.211
2024-04-30 19:00:00,0.308,3.203,3.983,6.618,4.223
2024-04-30 20:00:00,0.627,3.201,3.983,6.423,4.23
2024-04-30 21:00:00,1.32,3.202,3.982,6.447,4.226
